mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08100525538126628,0.0007940258733970557,0.004586378733317058,5.718612082092749e-05,,7,50,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 50}",0.9676258992805755,0.9538461538461539,0.9496124031007752,0.9570281520758348,0.00769048527750101,25
0.10974470774332683,0.0013551064148124578,0.006278196970621745,5.691044768853434e-05,,7,70,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 70}",0.960431654676259,0.9576923076923077,0.9534883720930233,0.9572041114871966,0.0028555262105468163,23
0.15799927711486816,0.0024362697326317513,0.008848826090494791,8.98527757405635e-05,,7,100,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 100}",0.9748201438848921,0.9538461538461539,0.9573643410852714,0.9620102129387725,0.009171156179226187,7
0.3232463200887044,0.006904925133144841,0.01719832420349121,0.0006255682816258268,,7,200,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 200}",0.9784172661870504,0.9538461538461539,0.9534883720930233,0.9619172640420759,0.011668177665023826,11
0.01585078239440918,0.0003030007183381447,0.0013521512349446614,4.212091553779219e-05,,10,10,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 10}",0.9064748201438849,0.926923076923077,0.8488372093023255,0.8940783687897623,0.03306160598189106,91
0.04623858133951823,0.0009473188411440192,0.002940098444620768,2.096125864666361e-05,,10,30,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 30}",0.960431654676259,0.95,0.9224806201550387,0.9443040916104325,0.01600838914641261,54
0.07738765080769856,0.0013400754842557852,0.004593690236409505,6.147635377820577e-05,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9712230215827338,0.9423076923076923,0.937984496124031,0.950505070004819,0.014755736613245734,50
0.10790546735127766,0.001023740734224153,0.006201505661010742,5.614981103537597e-05,,10,70,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 70}",0.9640287769784173,0.9461538461538461,0.9418604651162791,0.9506810294161808,0.009599654643868766,49
0.15456080436706543,0.0017743464660906218,0.00866079330444336,0.00017403391359266499,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9712230215827338,0.9576923076923077,0.9496124031007752,0.9595092441252722,0.008915553873026902,15
0.30919448534647626,0.003527900058892232,0.016535282135009766,0.00020849574104817319,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9712230215827338,0.9423076923076923,0.9534883720930233,0.9556730286611498,0.011905282021341378,33
0.00868519147237142,5.009602458242528e-05,0.0011831124623616536,3.831020505354085e-05,2,2,10,"{'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.564748201438849,0.49615384615384617,0.5658914728682171,0.5422645068203041,0.032608501322131965,141
